id,name,specialization,is_active,created_at
3f8a9e5c-1b2a-4c8d-9f12-7e8c3c1b9a01,Dr. Aarav Sharma,Cardiology,true,2025-12-01 09:15:00
5b2c7f91-0a34-4d6a-bc7e-12a8d5f4c901,Dr. Neha Verma,Dermatology,true,2025-12-02 10:30:00
9c4d12b7-8a3e-4f2b-92a1-5d8f3b7c2e45,Dr. Rohan Mehta,Orthopedics,true,2025-12-03 11:45:00
1a7f8b4d-9c2e-4b6a-88d3-0e5c4f9b2a76,Dr. Pooja Iyer,Pediatrics,true,2025-12-04 14:20:00
7d3b2a9e-5c8f-4e1a-93b6-2f8a4c7e5d10,Dr. Vikram Singh,Neurology,false,2025-12-05 16:00:00
0f6a9c3e-4b1d-45f2-8a7e-9d3c1b5a7e82,Dr. Ananya Rao,Gynecology,true,2025-12-06 09:50:00
a8b5c3d9-7e4f-4a21-9c6b-1e0f8a3d2b44,Dr. Kunal Patel,General Medicine,true,2025-12-07 13:10:00
2c9a8e5f-1b4d-4f73-ae6c-7d5b9a3e1c90,Dr. Sneha Kulkarni,Psychiatry,true,2025-12-08 15:40:00
e7b3d2c1-9f84-4a5d-8e6c-2a9b5f3d7c11,Dr. Rajesh Gupta,ENT,true,2025-12-09 17:25:00
6a4f9e7b-2c8d-4e51-9b73-0a1d5f3c8e29,Dr. Kavita Nair,Ophthalmology,false,2025-12-10 18:00:00
